P12668	      2.16       9.00      12.00
P1850	      2.16       8.00      13.00
P1216	      2.16       7.00      13.00
P262	      2.16       6.00      12.00
P9116	      2.16       3.00      10.00
P13601	      2.16       2.00      15.00
P8480	      2.16      15.00      16.00
P1599	      2.16      15.00      11.00
P19485	      2.16      10.00      10.00
P14540	      2.15       3.00      10.00
P4829	      2.15      17.00      14.00
P17133	      2.15      16.00      15.00
P5776	      2.15      15.00      25.00
P16912	      2.15      10.00      15.00
P18098	      2.14       5.00      16.00
P3493	      2.14       2.00       9.00
P3991	      2.13       2.00      15.00
P9675	      2.12       9.00      14.00
P6589	      2.12       4.00      17.00
P12660	      2.12       2.00      11.00
P5207	      2.12      19.00      14.00
P3509	      2.12      12.00      14.00
P1210	      2.12      11.00      11.00
P11868	      2.11       5.00      11.00
P11024	      2.11      17.00      12.00
P2129	      2.11      13.00      14.00
P11666	      2.10       4.00      13.00
P17624	      2.10      17.00      13.00
P13516	      2.10      17.00      12.00
P8697	      2.10      14.00      20.00
P6574	      2.10       1.00      14.00
P7610	      2.09       8.00      16.00
P11167	      2.09       7.00      16.00
P2209	      2.09       3.00      16.00
P10860	      2.09       2.00      16.00
P18607	      2.09      18.00      14.00
P11619	      2.09      12.00      11.00
P14913	      2.08       9.00      18.00
P11319	      2.08      14.00      18.00
P19831	      2.08      12.00      13.00
P6552	      2.08      11.00      19.00
P11096	      2.07       5.00      10.00
P9884	      2.07       3.00      16.00
P2989	      2.07       3.00      14.00
P6974	      2.07       2.00      16.00
P19014	      2.07      19.00      19.00
P16613	      2.07      17.00      17.00
P684	      2.07      17.00      16.00
P8088	      2.07      16.00      15.00
P17066	      2.07      16.00      11.00
P11343	      2.07      16.00      11.00
P4410	      2.07      16.00      10.00
P7092	      2.07      14.00      23.00
P7886	      2.07      14.00      12.00
P11188	      2.07      12.00      20.00
P939	      2.07      12.00      19.00
P9309	      2.07       1.00      14.00
P11514	      2.07       1.00      13.00
P15341	      2.06       9.00      16.00
P10614	      2.06       4.00      17.00
P3008	      2.06       2.00      19.00
P125	      2.06       2.00      15.00
P15476	      2.06      20.00      12.00
P15804	      2.06      18.00      16.00
P12239	      2.06      18.00      14.00
P6141	      2.06      14.00      14.00
P3023	      2.06      14.00      11.00
P14828	      2.06      13.00      12.00
P16703	      2.06      12.00      19.00
P10868	      2.06      11.00      21.00
P5043	      2.05       8.00      15.00
P322	      2.05       5.00      12.00
P5934	      2.05       4.00      18.00
P9249	      2.05       4.00      15.00
P8067	      2.05      16.00      13.00
P16398	      2.05      15.00      17.00
P18906	      2.05      10.00      17.00
P11396	      2.05      10.00      16.00
P12252	      2.04       9.00      13.00
P9711	      2.04       8.00      11.00
P2829	      2.04       7.00      15.00
P6960	      2.04       6.00      13.00
P18917	      2.04       4.00      15.00
P430	      2.04       3.00      18.00
P17394	      2.04       2.00      18.00
P14471	      2.04      20.00      15.00
P1609	      2.04      20.00      12.00
P1002	      2.04      20.00      10.00
P2859	      2.04      19.00      16.00
P17171	      2.04      18.00      19.00
P16159	      2.04      12.00      15.00
P8918	      2.04       1.00      15.00
P1134	      2.03       9.00      16.00
P16953	      2.03       8.00      14.00
P7044	      2.03       6.00      15.00
P16570	      2.03      19.00      15.00
P8846	      2.03      18.00      17.00
P3255	      2.03      18.00      15.00
P3605	      2.03      17.00      14.00
P6794	      2.03      14.00      18.00
P5812	      2.03      13.00      14.00
P3115	      2.02       7.00      14.00
P10401	      2.02       2.00      11.00
P469	      2.02      20.00       7.00
P12420	      2.02      14.00      15.00
P7660	      2.02      13.00      20.00
P9678	      2.02      12.00      16.00
P19991	      2.02      12.00      15.00
P3692	      2.02      11.00      17.00
P9881	      2.02      11.00      12.00
P17107	      2.02       1.00      14.00
P1875	      2.01       8.00      12.00
P814	      2.01       7.00      10.00
P16454	      2.01       6.00      12.00
P18343	      2.01       5.00      18.00
P18866	      2.01       3.00      14.00
P10233	      2.01       2.00      17.00
P11840	      2.01       2.00      15.00
P1071	      2.01      14.00      14.00
P9895	      2.01      14.00      12.00
P16478	      2.01      13.00      21.00
P5385	      2.01      12.00      13.00
P19568	      2.01      11.00      16.00
P8919	      2.01       1.00      11.00
P18456	      2.01      10.00      17.00
P4505	      2.00       9.00      10.00
P12556	      2.00       5.00      20.00
P3033	      2.00       5.00      10.00
P17813	      2.00       4.00      20.00
P13509	      2.00       3.00      17.00
P3418	      2.00      17.00      19.00
P11783	      2.00      17.00      15.00
P17740	      2.00      15.00      13.00
P14576	      2.00      14.00      14.00
P17892	      2.00      13.00      17.00
P4255	      2.00      13.00      10.00
P19897	      2.00       1.00      15.00
P18638	      1.99       9.00      16.00
P6564	      1.99       9.00      12.00
P19498	      1.99       8.00      11.00
P17556	      1.99       6.00      13.00
P2746	      1.99       4.00      14.00
P140	      1.99       3.00      21.00
P6375	      1.99       2.00      15.00
P18511	      1.99       2.00      14.00
P14842	      1.99      19.00      13.00
P17471	      1.99      17.00      21.00
P2222	      1.99      17.00      13.00
P8386	      1.99      16.00      22.00
P16683	      1.99      13.00      12.00
P18280	      1.99      12.00       9.00
P6192	      1.99       1.00      21.00
P16932	      1.98       9.00      13.00
P7217	      1.98       5.00      19.00
P8596	      1.98      20.00      18.00
P741	      1.98      20.00      15.00
P6426	      1.98      20.00      11.00
P1171	      1.98      18.00      15.00
P2845	      1.98      18.00      10.00
P5732	      1.98      16.00      20.00
P4332	      1.98      16.00      16.00
P2921	      1.98      15.00      21.00
P16241	      1.98      15.00      13.00
P17532	      1.98      14.00      14.00
P255	      1.98      12.00      13.00
P2672	      1.98      11.00      21.00
P9869	      1.98       1.00      17.00
P296	      1.97       8.00      13.00
P12949	      1.97       8.00      11.00
P9897	      1.97       7.00      14.00
P6587	      1.97       3.00      15.00
P3957	      1.97      20.00      12.00
P7102	      1.97      17.00      17.00
P19543	      1.97      17.00      14.00
P5144	      1.97      17.00      13.00
P10528	      1.97      17.00      11.00
P10341	      1.97      17.00      10.00
P13881	      1.97      16.00      12.00
P6442	      1.97      15.00      15.00
P7915	      1.97      14.00      16.00
P10856	      1.97      13.00      17.00
P9189	      1.97       1.00      21.00
P15696	      1.97      10.00      22.00
P12990	      1.97      10.00      13.00
P14084	      1.96       8.00      15.00
P18857	      1.96       8.00      13.00
P13831	      1.96       7.00      19.00
P19203	      1.96       5.00      14.00
P17603	      1.96       5.00      11.00
P19210	      1.96       5.00      10.00
P8656	      1.96       3.00      16.00
P2091	      1.96       2.00       8.00
P4233	      1.96       2.00      15.00
P16561	      1.96       2.00      12.00
P18532	      1.96      16.00      13.00
P2941	      1.96      15.00      17.00
P15771	      1.95       9.00      14.00
P5047	      1.95       8.00      10.00
P7441	      1.95       7.00      13.00
P9666	      1.95       6.00      15.00
P13418	      1.95       5.00      12.00
P10504	      1.95       4.00      12.00
P12064	      1.95      19.00      14.00
P7152	      1.95      18.00      15.00
P6342	      1.95      18.00      14.00
P8689	      1.95      14.00      15.00
P10443	      1.95      12.00      15.00
P8751	      1.95      11.00      13.00
P17776	      1.95       1.00      16.00
P8166	      1.94       5.00      14.00
P12196	      1.94      17.00      17.00
P12063	      1.94      15.00      15.00
P9743	      1.94      14.00      18.00
P18294	      1.94      11.00      18.00
P3940	      1.94      11.00      16.00
P3027	      1.94      11.00      13.00
P17402	      1.93       5.00       9.00
P4374	      1.93      13.00      10.00
P14535	      1.93      11.00      19.00
P17057	      1.93      11.00      12.00
P17274	      1.93      10.00      15.00
P19735	      1.92       7.00       9.00
P19840	      1.92       7.00      21.00
P5399	      1.92       7.00      19.00
P7799	      1.92       7.00      16.00
P6045	      1.92       7.00      13.00
P7608	      1.92       6.00      13.00
P15060	      1.92       5.00      12.00
P9649	      1.92       4.00      15.00
P1871	      1.92       4.00      10.00
P1830	      1.92       3.00      16.00
P4521	      1.92      20.00      15.00
P11891	      1.92      19.00      13.00
P10500	      1.92      18.00      21.00
P823	      1.92      17.00      10.00
